"campo"	"valor"
"dados_id"	"ctb0643"
"dados_titulo"	"VI Reunião de Correlação, Classificação e Aplicação de Levantamentos de Solos RS/SC/PR"
"dados_descricao"	"Conjunto de dados públicos do solo originalmente obtidos do Sistema de Informação de Solos Brasileiros (SISB), construído e mantido pela Embrapa Solos (Rio de Janeiro) e Embrapa Informática Agropecuária (Campinas), referente à VI Reunião de Correlação, Classificação e Aplicação de Levantamentos de Solos RS/SC/PR. Dados de localização espacial de observações do solo sem coordenadas espaciais foram completados usando os dados de localização descritiva para inferir sobre as coordenadas espaciais mais prováveis usando serviços de mapas online como o Google Maps e o Google Earth. Dados do conteúdo de ferro apresentando valores discrepantes foram corrigidos depois de consultar o relatório do levantamento do solo onde originalmente foram publicados. A fim de preservar a conexão dos dados com o SISB, usa-se o mesmo código de identificação daquele sistema para o conjunto de dados, assim como o código de identificação de cada observação corresponde ao código do perfil do solo no SISB e o código das amostras corresponde ao código dos horizontes. Todas os demais dados são mantidos como dados adicionais para facilitar o reuso do conjunto de dados como um todo. Nenhum item técnico-científico do SISB e seu respectivo banco de dados que seja fruto da atividade intelectual, criativa, inovadora e inédita dos projetos conduzidos pela Embrapa foi ou é usado para organizar estruturalmente a presente versão do conjunto de dados. O emprego deste conjunto de dados para finalidades profissionais e/ou comerciais deve ser precedido pelo contato com a Embrapa."
"criacao_data"	"2017-04-26"
"dados_licenca"	"CC BY-NC 4.0"
"organizacao_nome"	"Embrapa Florestas"
"organizacao_url"	"https://www.embrapa.br/florestas"
"organizacao_local"	"Estrada da Ribeira, Km 111, s/n, Colombo, Brasil, 83411-000"
"autor_nome_email"	"Gustavo Ribas Curcio (gustavo.curcio@embrapa.br); Américo Pereira de Carvalho (NA); Itamar Antonio Bognola (itamar.bognola@embrapa.br); Renato Antonio Dedecek (NA); Raphael D. dos Santos (NA); Iderê Azevedo Gomes (NA); Márcio Rossi (NA); Maurício Rizzato Coelho (NA); Washington de Oliveira Barreto (NA); Aluísio Granado de Andrade (NA); Jaime Antônio de Almeida (NA); Sebastião Barreiros Calderano (NA); João Carlos Ker (NA); Mauro da Conceição (NA); Antônio Carlos Saraiva da Costa (NA); Álvaro Pires da Silva (NA); Neyde F. B. Giarola (NA)"
"dados_referencia"	"http://www.bdpa.cnptia.embrapa.br/consulta/busca?b=pc&id=337607&biblioteca=vazio&busca=autoria:%22de%22&qFacets=autoria:%22de%22&sort=&paginacao=t&paginaAtual=460; https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	"Brasil; Classificação; Congresso; Levantamento; Paraná; Rio Grande do Sul; Santa Catarina; Solo"
"dados_completude"	NA
"dados_consistencia"	"consistência estrutural"
