"campo"	"valor"
"dados_id"	"ctb0011"
"dados_titulo"	"Mineralogia, morfologia e classificação de saprolitos e Neossolos derivados de rochas vulcânicas no Rio Grande do Sul"
"dados_descricao"	"Inclui dados de ferro dos horizontes de cinco perfis do solo distribuídos numa sequência lito-climática desde a fronteira do RS com a Argentina, até a região dos Campos de Cima da Serra. Os critérios utilizados na escolha dos pontos amostrais foram a ocorrência, no perfil, de Neossolos Litólicos ou Regolíticos, altitude, relevo, material de origem, coordenadas geográficas, morfologia do perfil, dando-se preferência à presença de saprolito, e o histórico de uso da terra, onde foram selecionados pontos sem aplicação de insumos agrícolas."
"criacao_data"	"2018-01-29"
"dados_licenca"	"CC BY 4.0"
"organizacao_nome"	"Universidade Federal de Santa Maria (UFSM)"
"organizacao_url"	"http://w3.ufsm.br/ppgcs/"
"organizacao_local"	"Av. Roraima, 1000.0, Santa Maria, Brasil, 97105-900"
"autor_nome_email"	"Fabrício de Araújo Pedron (fapedron@ufsm.br); Antonio Carlos Azevedo (aazevedo@esalq.usp.br)"
"dados_referencia"	"http://w3.ufsm.br/ppgcs/images/Teses/FABRICIO-DE-ARAUJO-PEDRON-TESE.pdf; doi.org/10.1590/S0103-84782012000300011"
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	"Mineralogia de solos; Gênese de solos; Morfologia de solos; Classificação de solos; Neossolos; Saprolitos; Pedologia;"
"dados_completude"	"incompletos (menos de 70% de cobertura)"
"dados_consistencia"	"consistência estrutural"
