"campo"	"valor"
"dados_id"	"ctb0677"
"dados_titulo"	"Mapa esquemático de solos regiões Norte, Meio-Norte e Centro-Oeste do Brasil: primeira aproximação"
"dados_descricao"	"Conjunto de dados públicos do solo originalmente obtidos do Sistema de Informação de Solos Brasileiros (SISB), construído e mantido pela Embrapa Solos (Rio de Janeiro) e Embrapa Informática Agropecuária (Campinas), referente ao 'Mapa esquemático de solos regiões Norte, Meio-Norte e Centro-Oeste do Brasil: primeira aproximação'. Dados de localização espacial de observações do solo sem coordenadas espaciais foram completados usando dados produzidos por Cooper et al. (2005) e publicados no artigo ‘A national soil profile database for Brazil available to international scientists’ do Soil Science Society of America Journal, ou então usando os dados de localização descritiva para inferir sobre as coordenadas espaciais mais prováveis usando serviços de mapas online como o Google Maps e o Google Earth. Erros e inconsistências nos dados das coordenadas espaciais das observações foram corrigidos manualmente visualizando as respectivas observações no Google Maps. Nos casos em que dados sobre o sistema de coordenadas de referência não estava disponível, adotou-se o WGS 84 como datum padrão. Também foram corrigidos erros e inconsistências, e realizadas atualizações no nome do município e código da unidade federativa onde as observações foram realizadas. Dados do conteúdo de ferro apresentando valores discrepantes foram corrigidos depois de consultar o relatório do levantamento do solo onde originalmente foram publicados. A fim de preservar a conexão dos dados com o SISB, usa-se o mesmo código de identificação daquele sistema para o conjunto de dados, assim como o código de identificação de cada observação corresponde ao código do perfil do solo no SISB e o código das amostras corresponde ao código dos horizontes. Todas os demais dados são mantidos como dados adicionais para facilitar o reuso do conjunto de dados como um todo. Nenhum item técnico-científico do SISB e seu respectivo banco de dados que seja fruto da atividade intelectual, criativa, inovadora e inédita dos projetos conduzidos pela Embrapa foi ou é usado para organizar estruturalmente a presente versão do conjunto de dados. O emprego deste conjunto de dados para finalidades profissionais e/ou comerciais deve ser precedido pelo contato com a Embrapa."
"criacao_data"	"2019-04-25"
"dados_licenca"	"CC BY-NC 4.0"
"organizacao_nome"	"EMBRAPA. Centro de Pesquisas Pedológicas"
"organizacao_url"	NA
"organizacao_local"	"Rio de Janeiro, Brasil"
"autor_nome_email"	"Marcelo Nunes Camargo (NA); Flávio Garcia de Freitas (NA); Klass Jan Beek (NA); Lioyd E. Garland (NA); Antônio Ramalho Filho (NA); João Mauríco Gralha Tomasi (NA); Dario Souza Castello (NA); Atanasio Alves Cordeiro (NA); Clotario Oliveira da Silveira (NA); Francesco Palmieri (NA); Idarê Azevedo Gomes (NA); Italo Cláudio Falesi (NA); Jorge Olmos Iturri Larach (NA); José Silva Rosatelli (NA); Luiz Gonzaga de Oliveira Carvalho (NA); Paulo Klinger Tito Jacomine (NA); Raphael David dos Santos (NA); Raul Suarez Inclan (NA); Adelino Alvarez Filho (NA); Antonio Manoel Pires Filho (NA); Antonio Ramalho Filho (NA); Ari Delcio Cavedon (NA); Benedito Nelson da Silva (NA); Chyozo Hirano (NA); Elias Pedro Mothci (NA); Estevão Machado Moura (NA); Hélio da Costa Almeida (NA); Humberto Gonçalves dos Santos (NA); Jalcione Nazareno Nunes Diniz (NA); João Alberto Martins do Amaral (NA); João Luiz Rodrigues de Souza (NA); João Viana Araújo (NA); Júlio C. A. J. de Magalhães (NA); Klaus Peter Wittern (NA); Lúcio Salgado Vieira (NA); Luiz Alberto Regueira Medeiros (NA); Manoel Faustino Neto (NA); Nathaniel J. Torres Bloomfield (NA); Raymundo Costa de Lemos (NA); Reinaldo Oscar Potter (NA); Sérgio Costa Pinto Pessoa (NA); Sérgio Sommer (NA); Waldemar Mendes (NA); Walmir Hugo dos Santos (NA); Leandro Vettori (NA); Fernando Ramos (NA); Hélio Pierantoni (NA); Maria Amélia Morais Duriez (NA); Maria de Lourdes A. Anastácio (NA); Mariana E. Heynemann (NA); Raphael M. Bloise (NA); Ruth A. L. Johas (NA); Washinton de Oliveira Barreto (NA); Zilda Amado H. Bremaeker (NA); Hélio Alberto Vaz de Mello (NA); Ida Vettori (NA); Maria Aparecida Barroso Perreira (NA); Adahil de Medeiros Leite (NA); Manoel da Silva Cardoso (NA); Abeilard Fernando de Castro (NA); Francisca M. Pinheiro (NA); Gisa Nara C. Moreira (NA); José Lopes de Paula (NA); Raymundo Mendes Sobral Filho (NA); Franklin dos Santos Antunes (NA); Loiva Lizia Antonello (NA); Luiz Rainho S. Carneiro (NA); Therezinha O. L. Bezerra (NA); Sinésio Francisco Chagas (NA); Heloisa S. de Arango (NA); Aristóteles Nunes (NA); José Francisco Bizeray Zikan. (NA)"
"dados_referencia"	"http://ainfo.cnptia.embrapa.br/digital/bitstream/item/63138/1/CNPS-BOL.-TEC.-17-75.pdf; https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html; http://doi.org/10.2136/sssaj2004.0140"
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	"Brasil; Esquemático; Mapas; Meio norte; Regiao Centro-Oeste; Regiao Meio-Norte; Regiao Norte; Solos."
"dados_completude"	NA
"dados_consistencia"	"consistência estrutural"
