"campo"	"valor"
"dados_id"	"ctb0681"
"dados_titulo"	"Conjunto de dados do levantamento de reconhecimento 'LEVANTAMENTO DE RECONHECIMENTO DOS SOLOS E AVALIAÇÃO DA APTIDÃO AGRÍCOLA DAS TERRAS DE UMA ÁREA DE COLONIZAÇÃO NO MUNICÍPIO DE BARREIRINHA, ESTADO DO AMAZONAS.'"
"dados_autor"	"José Raimundo Natividade Ferreira Gama (NA); João Marcos Lima da Silva (NA); Maria Amélia de Moraes Duriez (NA); Marie Elizabeth C. C. de Magalhães Melo (NA); Ruth Andrade Leal Johas (NA); Wilson Sant'Anna de Araújo (NA); Raphael Minotti Bloise (NA); Gisa Nara C. Moreira (NA); José Lopes de Paula (NA); João LuiZ Rodrigues de Souza (NA); Loiva Lizia Antonello (NA); Therezinha da Costa Lima. (NA)"
"organizacao_nome"	NA
"organizacao_local"	"Brasil"
"organizacao_url"	NA
"dados_descricao"	"Conjunto de dados públicos do solo originalmente obtidos do Sistema de Informação de Solos Brasileiros (SISB), construído e mantido pela Embrapa Solos (Rio de Janeiro) e Embrapa Informática Agropecuária (Campinas), referente ao levantamento de reconhecimento 'LEVANTAMENTO DE RECONHECIMENTO DOS SOLOS E AVALIAÇÃO DA APTIDÃO AGRÍCOLA DAS TERRAS DE UMA ÁREA DE COLONIZAÇÃO NO MUNICÍPIO DE BARREIRINHA, ESTADO DO AMAZONAS.'. Dados de localização espacial de observações do solo sem coordenadas espaciais foram completados usando dados produzidos por Cooper et al. (2005) e publicados no artigo 'A national soil profile database for Brazil available to international scientists' do Soil Science Society of America Journal, ou então usando os dados de localização descritiva para inferir sobre as coordenadas espaciais mais prováveis usando serviços de mapas online como o Google Maps e o Google Earth. Erros e inconsistências nos dados das coordenadas espaciais das observações foram corrigidos manualmente visualizando as respectivas observações no Google Maps. Nos casos em que dados sobre o sistema de coordenadas de referência não estava disponível, adotou-se o WGS 84 como datum padrão. Também foram corrigidos erros e inconsistências, e realizadas atualizações no nome do município e código da unidade federativa onde as observações foram realizadas. Dados do conteúdo de ferro apresentando valores discrepantes foram corrigidos depois de consultar o relatório do levantamento do solo onde originalmente foram publicados. A fim de preservar a conexão dos dados com o SISB, usa-se o mesmo código de identificação daquele sistema para o conjunto de dados, assim como o código de identificação de cada observação corresponde ao código do perfil do solo no SISB e o código das amostras corresponde ao código dos horizontes. Todas os demais dados são mantidos como dados adicionais para facilitar o reuso do conjunto de dados como um todo. Nenhum item técnico-científico do SISB e seu respectivo banco de dados que seja fruto da atividade intelectual, criativa, inovadora e inédita dos projetos conduzidos pela Embrapa foi ou é usado para organizar estruturalmente a presente versão do conjunto de dados. O emprego deste conjunto de dados para finalidades profissionais e/ou comerciais deve ser precedido pelo contato com a Embrapa."
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	NA
"dados_publicacao"	"GAMA, J.R.N.F.; SILVA, J.M.L.; DURIEZ, M.A.M.; MELO, M.E.C.C.M.; JOHAS, R.A.L.; ARAÚJO, W.S.A.; BLOISE, R.M.; MOREIRA, G.N.C.; PAULA, J.L.; SOUZA, J.L.R.; ANTONELLO, L.L.; LIMA, T.C. Levantamento de Reconhecimento dos Solos e Avaliação da Aptidão Agrícola das Terras de uma Área de Colonização no Município de Barreirinha, Estado do Amazonas. Rio de Janeiro, EMBRAPA, Boletim de Pesquisa, 32, 1984.; https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html; http://doi.org/10.2136/sssaj2004.0140"
"dados_idioma"	NA
"fonte_financeira"	NA
"dados_licenca"	"CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal"	NA
"extensao_espacial"	NA
"extensao_altimetrica"	NA
"dados_completude"	NA
"dados_consistencia"	"consistência estrutural"
