"campo"	"valor"
"dados_id"	"ctb0027"
"dados_titulo"	"Conjunto de dados de ferro de Guarapuava - PR."
"dados_descricao"	"Os dados referem-se a resultados analiticos de perfis de solo coletados no Campus Cedeteg, da UNICENTRO, para a geração do mapa de solos detalhado da área experimental da instituição. Foram coletadas amostras dos horizontes A e B de cinco perfis de Latossolo Bruno, sob diferentes usos agrícolas."
"criacao_data"	"2018-01-29"
"dados_licenca"	"CC BY 4.0"
"organizacao_nome"	"Universidade Estadual do Centro Oeste (UNICENTRO)"
"organizacao_url"	"http://www3.unicentro.br/"
"organizacao_local"	"Rua Simeão Camargo Varela de Sá, 3.0, Guarapuava (PR), Brasil, 85040-080"
"autor_nome_email"	"Aline Marques Genú (agenu@unicentro.br)"
"dados_referencia"	"http://www.eaic.uem.br/eaic2012/anais; http://www.sbcs-nepar.org.br/images/nepar/publicacoes/anais-iii-rpcs.pdf"
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	"Mineralogia; Latossolo Bruno; Óxidos de ferro"
"dados_completude"	NA
"dados_consistencia"	"consistência estrutural"
