"campo"	"valor"
"dados_id"	"ctb0030"
"dados_titulo"	"Caracterização pedológica em áreas de encosta do rebordo do planalto do RS"
"dados_autor"	"Pablo Miguel (pablo.ufsm@gmail.com); Ricardo Simão Diniz Dalmolin (dalmolin@ufsm.br)"
"organizacao_nome"	"Universidade Federal de Santa Maria (UFSM)"
"organizacao_local"	"Av. Roraima, 1000.0, Santa Maria, Brasil, 97105-900"
"organizacao_url"	"http://site.ufsm.br/"
"dados_descricao"	NA
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	"Levantamento de solos; Bacia hidrográfica; Perdas de solo; EUPS"
"dados_publicacao"	"https://periodicos.ufpel.edu.br/ojs2/index.php/CAST/article/view/2080; http://w3.ufsm.br/ppgcs/images/Dissertacoes/PABLO-MIGUEL.pdf"
"dados_idioma"	NA
"fonte_financeira"	NA
"dados_licenca"	"CC BY 4.0 Atribuição"
"extensao_temporal"	NA
"extensao_espacial"	NA
"extensao_altimetrica"	NA
"dados_completude"	NA
"dados_consistencia"	"consistência estrutural"
