"campo"	"valor"
"dados_id"	"ctb0038"
"dados_titulo"	"Variabilidade de classes de solos, atributos morfológicos e físico-hídricos no rebordo do planalto meridional"
"dados_autor"	"Gabriel Antônio Deobald; Fabrício de Araújo Pedron"
"organizacao_nome"	"Universidade Federal de Santa Maria (UFSM)"
"organizacao_local"	NA
"organizacao_url"	"http://w3.ufsm.br/ppgcs/"
"dados_descricao"	"Dados produzidos como parte da dissertação apresentada por Gabriel Antônio Deobald, sob orientação de Fabrício de Araújo Pedron, como requisito parcial para obtenção do grau de Mestre em Ciência do Solo no Programa de Pós-Graduação em Ciência do Solo da Universidade Federal de Santa Maria. Consiste em 57 pontos amostrais espaçados em 20 metros onde foram avaliadas duas camadas de solo, 0-10 e 10-20 centímetros, no município de São Martinho da Serra, região central do estado do Rio Grande do Sul."
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	"Atributos físico-hídricos; Pedologia; Geoestatística."
"dados_publicacao"	"http://w3.ufsm.br/ppgcs/images/Dissertacoes/GABRIEL-ANTONIO-DEOBALD.pdf"
"dados_idioma"	"portugues"
"fonte_financeira"	NA
"dados_licenca"	"CC BY 4.0 Atribuição"
"extensao_temporal"	NA
"extensao_espacial"	NA
"extensao_altimetrica"	NA
"dados_completude"	"virtualmente completos (mais de 95% de cobertura)"
"dados_consistencia"	"consistência estrutural"
