"campo"	"valor"
"dados_id"	"ctb0026"
"dados_titulo"	"Conteúdo de ferro do solo no ano de 1998 (ESALQ-USP)"
"dados_descricao"	"Foram selecionadas amostras com grande variação de teores de óxidos de ferro. As amostras de Dematte1 foram realizadas na cidade de Barra Bonita, SP, nas camadas A (0-20 cm) e B (80-100 cm). As amostras de Dematte2 foram coletadas em Rafard, SP, apenas na camada A (0-20 cm). O método de determinação de laboratório foi via ataque sulfúrico determinado na ESALQ-USP."
"criacao_data"	"2018-10-31"
"dados_licenca"	"CC BY 4.0"
"organizacao_nome"	"Escola Superior de Agricultura \Luiz de Queiroz\/Universidade de São Paulo"
"organizacao_url"	"http://www4.esalq.usp.br/"
"organizacao_local"	"Av. Pádua Dias, 11.0, Piracicaba, Brasil, 13418-900"
"autor_nome_email"	"José Alexandre Melo Demattê (jamdemat@usp.br)"
"dados_referencia"	NA
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	"Sensoriamento remoto; Processamento de imagens; Pedologia"
"dados_completude"	NA
"dados_consistencia"	"consistência estrutural"
