"campo" "valor"
"dados_id" "ctb0783"
"dados_titulo" "Solos da Rodovia Transamazônica"
"dados_autor" "Ítalo Cláudio Falesi"
"organizacao_nome" "Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"
"organizacao_local" "Brasil"
"organizacao_url" NA
"dados_descricao" "Conjunto de dados referente ao levantamento de reconhecimento SOLOS DA RODOVIA TRANSAMAZÔNICA. Falta estimar as coordenadas espaciais e anotar a data de coleta."
"dados_idioma" NA
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" NA
"dados_publicacao" "http://www.alice.cnptia.embrapa.br/alice/handle/doc/386452; https://www.alice.cnptia.embrapa.br/alice/bitstream/doc/386452/1/BOLETIMTECNICO551972.pdf; http://ainfo.cnptia.embrapa.br/digital/bitstream/item/143172/1/BOLETIM-TECNICO-55-1972.pdf; https://cloud.utfpr.edu.br/index.php/s/D3TuQr3qNI2NdXL"
"fonte_financeira" NA
"dados_licenca" "CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" "aproximadamente completos (entre 70 e 95% de cobertura)"
"dados_consistencia" "consistência estrutural"
