"campo"	"valor"
"dados_id"	"ctb0022"
"dados_titulo"	"Levantamento semidetalhado de solos do Município de Londrina"
"dados_descricao"	"Dados de identificação e caracterização dos solos do municipio de Londrina, utilizados para o seu mapeamento na escala 1:65.000 (levantamento semidetalhado). As observações do solo foram obtidas pela prospecção das diferentes unidades fisiográficas delimitadas após a interpretação de material básico, procurando-se atender às distribuições pedossequenciais. Os perfis do solo foram examinados em barrancos, microtrincheiras e tradagens, sendo descritos conforme Santos et al. (2005), a maioria dos quais foram georeferrenciados usando GPS de navegação. Amostras do solo foram coletadas apenas para os horizontes superficial e subsuperficial, para as quais foram determinadas algumas propriedades mosfológicas, físicas e químicas básicas necessárias para a sua classificação taxonômica."
"criacao_data"	"2019-11-29"
"dados_licenca"	"CC BY 4.0"
"organizacao_nome"	"Instituto Agrononômico do Paraná"
"organizacao_url"	"http://www.iapar.br/"
"organizacao_local"	"Rodovia Celso Garcia Cid, km 375, s/n, Londrina, Brasil, 86047-902"
"autor_nome_email"	"Itamar Antonio Bognola (itamar.bognola@embrapa.br); Gustavo Ribas Curcio (gustavo.curcio@embrapa.br); João Bosco Vasconcellos Gomes (joao.bv.gomes@embrapa.br); João Henrique Caviglione (jhenriq@iapar.br); Alexandre Uhlmann (alexandre.uhlmann@embrapa.br); Alcides Cardoso (NA); Américo Pereira de Carvalho (NA)"
"dados_referencia"	"http://www.iapar.br/modules/conteudo/conteudo.php?conteudo=1034; https://www.bdpa.cnptia.embrapa.br/consulta/busca?b=pc&id=896626&biblioteca=vazio&busca=autoria:%22B.%22&qFacets=autoria:%22B.%22&sort=&paginacao=t&paginaAtual=2226"
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	"Classificação; Mapeamento; Solos; Reconhecimento do solo"
"dados_completude"	"completos (100% de cobertura)"
"dados_consistencia"	"consistência estrutural"
