"campo"	"valor"
"dados_id"	"ctb0566"
"dados_titulo"	"Solos das áreas-piloto do Projeto BiosBrasil (Conservation and Sustainable Management of Below-Ground Biodiversity: phase I), Município de Benjamin Constant, Estado do Amazonas"
"dados_descricao"	"Dados de 24 perfis do solo observados e amostrados, para fins de classificação e mapeamento pedológico uma área-piloto no município de Benjamin Constant, noroeste do Estado do Amazonas. O perfis de solo foram identificados e coletados mediante abertura de trincheiras, sendo georreferenciados com a utilização de equipamento GPS com precisão aproximada de 20 m. Os métodos analíticos seguem o Manual de Métodos de Análise de Solo (Embrapa, 1997). (Dados originalmente obtidos do BDSolos e submetidos a rotinas de avaliação e melhoria de qualidade no FEBR.)"
"criacao_data"	"2019-10-30"
"dados_licenca"	"CC BY-NC 4.0"
"organizacao_nome"	"Embrapa"
"organizacao_url"	NA
"organizacao_local"	"Brasil"
"autor_nome_email"	"Maurício Rizzato Coelho (NA); Elaine Cristina Cardoso Fidalgo (NA); Fabiano de Oliveira Araújo (NA); Humberto Gonçalves dos Santos (NA); Maria de Lourdes Mendonça Santos (NA); Daniel Vidal Pérez (NA); Fátima Maria de Souza Moreira. (NA)"
"dados_referencia"	"https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/855563/1/bpd672005solosareapilotoprojbiosbr.pdf; http://ainfo.cnptia.embrapa.br/digital/bitstream/CNPS-2010/14884/1/bpd67-2005-solos-area-piloto-projbios-br.pdf; NA"
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	NA
"dados_completude"	NA
"dados_consistencia"	"consistência estrutural"
