"campo"	"valor"
"dados_id"	"ctb0019"
"dados_titulo"	"Conjunto de dados do artigo 'A mosaic of nonallophanic Andosols, Umbrisols and Cambisols on rhyodacite in the southern Brazilian highlands'"
"dados_autor"	"Alexander Dümig (NA); Peter Schad (schad@wzw.tum.de); Manmath Kohok (NA); Patrick Beyerlein (NA); Wolfgang Schwimmer (NA); Ingrid Kögel-Knabner (NA)"
"organizacao_nome"	"Technische Universität München (TUM)"
"organizacao_local"	"Freising, Alemanha, D-85350"
"organizacao_url"	"http://www.wzw.tum.de"
"dados_descricao"	"Os dados foram compilados manualmente do artigo em documento no formato PDF obtido do Portal de Periódicos da CAPES. As unidades das variáveis do solo foram modificadas de modo a atender aos padrões brasileiros. Dados obtidos via cálculo não foram compilados. Os dados da classificação taxonômica foram agregados de maneira a ocupar apenas uma coluna. As coordenadas espaciais foram inferidas a partir da comparação da Figura 1 do artigo com imagens de satélite disponíveis no Google Maps. Os locais de observação foram selecionados pelos autores após percorimento da área com observação da modrfologia do solo, vegetação e representatividade dos perfis do solo. Vinte e sete perfis do solo foram descritos e amostrados em oito áreas com diferentes coberturas vegetais. A descrição e amostragem dos perfis do solo foi feita de acordo com Jahn et al. (2003). A data de observação dos perfis do solo é desconhecida e foi estimada a partir da data de submissão do manuscrito para publicação."
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	"Andic properties; Pedogenesis; Soil classification; Organo-metallic complexes; Grassland; Vegetation effects"
"dados_publicacao"	"https://doi.org/10.1016/j.geoderma.2008.01.013"
"dados_idioma"	NA
"fonte_financeira"	NA
"dados_licenca"	"CC BY 4.0 Atribuição"
"extensao_temporal"	NA
"extensao_espacial"	NA
"extensao_altimetrica"	NA
"dados_completude"	NA
"dados_consistencia"	"consistência estrutural"
