"campo" "valor"
"dados_id" "ctb0659"
"dados_titulo" "Levantamento de Reconhecimento de Baixa Intensidade dos Solos e Avaliação da Aptidão Agrícola das Terras do Projeto de Colonização Apiaú - Território Federal de Roraima"
"dados_autor" "Raphael David dos Santos; José Raimundo N.F. Gama; Amarindo Fausto Soares"
"organizacao_nome" "EMBRAPA SOLOS"
"organizacao_local" "Brasil"
"organizacao_url" "www.embrapa.br/solos"
"dados_descricao" "Dados de 21 amostras extra e 10 perfis de solo proveninentes de levantamento de reconhecimento de baixa intensidade em áreas dos municipios de Boa Vista e Caracarai, no Terrritorio Federal de Roraima, abrangendo uma superficie de 600.000 hectares. A seleção dos locais de observação, a descrição, coleta e análise das amostras de solo segui a metodologia do SNLCS/EMBRAPA. O levantamento permitiu identificar os seguintes solos: Latossolo Amarelo, Terra Roxa Estruturada Similar, Podzólico Vermelho Amarelo, Plintossolo, Glei Pouco Húmico, Areias Quatzosas e Solos Aluviais."
"area_conhecimento" "Gênese, Morfologia e Classificação dos Solos"
"palavras_chave" "Agriculture fitness; Apiau-Território Federal de Roraima; Baixa intensidade; Brasil; Land reconnaissance; Levantamento exploratório; Roraima; Soils; Solos; Survey exploratory;"
"dados_publicacao" "http://ainfo.cnptia.embrapa.br/digital/bitstream/item/62537/1/CNPS-BOL.-PESQ.-14-82.pdf"
"dados_idioma" NA
"fonte_financeira" NA
"dados_licenca" "CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal" NA
"extensao_espacial" NA
"extensao_altimetrica" NA
"dados_completude" "virtualmente completos (mais de 95% de cobertura)"
"dados_consistencia" "consistência estrutural"
